Date,Day,Activity,Hours
2025-01-06,Monday,Feature Development,3.0
2025-01-07,Tuesday,Class,1.25
2025-01-08,Wednesday,Homework,2.0
2025-01-09,Thursday,Class,1.25
2025-01-10,Friday,Preparing for Discussion,2.5
2025-01-10,Friday,Reading,1.75
2025-01-13,Monday,Sprint Planning Meeting,2.0
2025-01-14,Tuesday,Class,1.25
2025-01-15,Wednesday,Feature Development,3.0
2025-01-16,Thursday,Class,1.25
2025-01-17,Friday,Homework,2.0
2025-01-17,Friday,Sprint Retrospective,2.5
2025-01-20,Monday,Preparing for Discussion,2.5
2025-01-21,Tuesday,Class,1.25
2025-01-22,Wednesday,Reading,2.0
2025-01-23,Thursday,Class,1.25
2025-01-24,Friday,Feature Development,3.0
2025-01-27,Monday,Homework,2.0
2025-01-28,Tuesday,Class,1.25
2025-01-29,Wednesday,Sprint Planning Meeting,2.5
2025-01-30,Thursday,Class,1.25
2025-01-31,Friday,Preparing for Discussion,3.0
2025-02-03,Monday,Feature Development,2.0
2025-02-04,Tuesday,Class,1.25
2025-02-05,Wednesday,Homework,2.5
2025-02-06,Thursday,Class,1.25
2025-02-07,Friday,Reading,3.0
2025-02-10,Monday,Sprint Retrospective,3.0
2025-02-11,Tuesday,Class,1.25
2025-02-12,Wednesday,Feature Development,3.0
2025-02-13,Thursday,Class,1.25
2025-02-14,Friday,Homework,2.0
2025-02-17,Monday,Preparing for Discussion,2.5
2025-02-18,Tuesday,Class,1.25
2025-02-19,Wednesday,Reading,2.0
2025-02-20,Thursday,Class,1.25
2025-02-21,Friday,Sprint Planning Meeting,3.0
2025-02-24,Monday,Feature Development,2.0
2025-02-25,Tuesday,Class,1.25
2025-02-26,Wednesday,Homework,2.5
2025-02-27,Thursday,Class,1.25
2025-02-28,Friday,Preparing for Discussion,3.0
2025-03-03,Monday,Reading,3.0
2025-03-04,Tuesday,Class,1.25
2025-03-05,Wednesday,Feature Development,3.0
2025-03-06,Thursday,Class,1.25
2025-03-07,Friday,Sprint Retrospective,2.5
2025-03-07,Friday,Homework,2.0
2025-03-10,Monday,Sprint Planning Meeting,2.0
2025-03-11,Tuesday,Class,1.25
2025-03-12,Wednesday,Preparing for Discussion,2.5
2025-03-13,Thursday,Class,1.25
2025-03-14,Friday,Reading,3.0
2025-03-17,Monday,Feature Development,2.0
2025-03-18,Tuesday,Class,1.25
2025-03-19,Wednesday,Homework,2.0
2025-03-20,Thursday,Class,1.25
2025-03-21,Friday,Preparing for Discussion,3.0
2025-03-24,Monday,Reading,2.5
2025-03-25,Tuesday,Class,1.25
2025-03-26,Wednesday,Sprint Planning Meeting,2.0
2025-03-27,Thursday,Class,1.25
2025-03-28,Friday,Feature Development,3.0
2025-03-31,Monday,Homework,2.0
2025-04-01,Tuesday,Class,1.25
2025-04-02,Wednesday,Preparing for Discussion,2.5
2025-04-03,Thursday,Class,1.25
2025-04-04,Friday,Reading,3.0
2025-04-07,Monday,Sprint Retrospective,2.5
2025-04-08,Tuesday,Class,1.25
2025-04-09,Wednesday,Feature Development,3.0
2025-04-10,Thursday,Class,1.25
2025-04-11,Friday,Homework,2.0
2025-04-14,Monday,Preparing for Discussion,3.0
2025-04-15,Tuesday,Class,1.25
2025-04-16,Wednesday,Reading,2.0
2025-04-17,Thursday,Class,1.25
2025-04-18,Friday,Sprint Planning Meeting,2.5
2025-04-21,Monday,Feature Development,2.0
2025-04-22,Tuesday,Class,1.25
2025-04-23,Wednesday,Homework,2.5
2025-04-24,Thursday,Class,1.25
2025-04-25,Friday,Preparing for Discussion,3.0
2025-04-28,Monday,Reading,3.0
2025-04-29,Tuesday,Class,1.25
2025-04-30,Wednesday,Feature Development,3.0
2025-05-01,Thursday,Class,1.25
2025-05-02,Friday,Sprint Retrospective,2.5
2025-05-02,Friday,Homework,2.0
2025-05-05,Monday,Sprint Planning Meeting,2.0
2025-05-05,Monday,Preparing for Discussion,3.5
